StationId,NameE,LatLng
1,Central,"22.28192744075703, 114.15824652969516"
2,Admiralty,"22.279400300481843, 114.1645503759096"
3,Tsim Sha Tsui,"22.297562695077175, 114.17221011376402"
4,Jordan,"22.30476651288003, 114.17166406903411"
5,Yau Ma Tei,"22.312825039000494, 114.17068722812279"
6,Mong Kok,"22.319244652545382, 114.16936624400215"
7,Shek Kip Mei,"22.33210625687445, 114.16881594416074"
8,Kowloon Tong,"22.337149431896663, 114.17608167167623"
9,Lok Fu,"22.33803226875453, 114.18701958714209"
10,Wong Tai Sin,"22.341638382733265, 114.19385849924927"
11,Diamond Hill,"22.34000344089397, 114.20171283026585"
12,Choi Hung,"22.33487783380846, 114.20898998982163"
13,Kowloon Bay,"22.323217861609578, 114.21395957611857"
14,Ngau Tau Kok,"22.31555898990287, 114.21899458801293"
15,Kwun Tong,"22.312194935533775, 114.22635858214042"
16,Prince Edward,"22.325040903279415, 114.16838284728831"
17,Sham Shui Po,"22.330748714847566, 114.16226623844895"
18,Cheung Sha Wan,"22.335588610452124, 114.15600070390175"
19,Lai Chi Kok,"22.33724209177882, 114.14803494557609"
20,Mei Foo,"22.337565552606847, 114.13797830971713"
21,Lai King,"22.348410245487777, 114.12615599877869"
22,Kwai Fong,"22.35683481205157, 114.12781870579585"
23,Kwai Hing,"22.363033645584604, 114.13122143298783"
24,Tai Wo Hau,"22.37078456658637, 114.12506341048152"
25,Tsuen Wan,"22.37366622099476, 114.11771974899443"
26,Sheung Wan,"22.286533212881224, 114.1518634014925"
27,Wan Chai,"22.27753463167958, 114.17315643772237"
28,Causeway Bay,"22.28035699017014, 114.18503459690974"
29,Tin Hau,"22.2824038558816, 114.19172309583561"
30,Fortress Hill,"22.287982058824408, 114.19356570589153"
31,North Point,"22.29126437431023, 114.20046075874772"
32,Quarry Bay,"22.28787132699788, 114.20974311643607"
33,Tai Koo,"22.284618999058843, 114.21634729071891"
34,Sai Wan Ho,"22.282077469209543, 114.22187877919673"
35,Shau Kei Wan,"22.27921751408338, 114.22888076947326"
36,Heng Fa Chuen,"22.27678453835371, 114.23990071269867"
37,Chai Wan,"22.26460241057796, 114.23713337749516"
38,Lam Tin,"22.30682350939505, 114.23273984307407"
39,Hong Kong,"22.284677042243906, 114.15817760848914"
40,Kowloon,"22.304264653609575, 114.1614684043258"
41,Olympic,"22.31779863005981, 114.16014364488068"
42,Tsing Yi,"22.3584887942505, 114.1076697890337"
43,Tung Chung,"22.28924400192597, 113.94143090717313"
44,Hong Kong,"22.284677042243906, 114.15817760848914"
45,Kowloon,"22.304264653609575, 114.1614684043258"
46,Tsing Yi,"22.3584887942505, 114.1076697890337"
47,Airport,"22.315860954159728, 113.9365592585577"
48,Yau Tong,"22.298086331968438, 114.23697200620933"
49,Tiu Keng Leng,"22.304462940020937, 114.25285525841927"
50,Tseung Kwan O,"22.307449898019463, 114.26001317541699"
51,Hang Hau,"22.31558940176618, 114.26438945102765"
52,Po Lam,"22.322506383432096, 114.2578330112876"
53,Nam Cheong,"22.326767144682034, 114.15367923557992"
54,Sunny Bay,"22.3317107559462, 114.02895467256778"
55,Disneyland Resort,"22.315337621693196, 114.04517781103861"
56,AsiaWorld-Expo,"22.320827088688162, 113.94184511298465"
57,LOHAS Park,"22.296301693775227, 114.26961412321118"
64,Hung Hom,"22.30286693207441, 114.18209287633466"
65,Mong Kok East,"22.322034574833022, 114.17259167470286"
67,Tai Wai,"22.37267013770969, 114.17863028955465"
68,Sha Tin,"22.381801229612975, 114.18698871009266"
69,Fo Tan,"22.395063468908553, 114.19812895828436"
70,Racecourse,"22.400927922134766, 114.20322309941018"
71,University,"22.413129814425517, 114.20994939110616"
72,Tai Po Market,"22.444531851237365, 114.17047102598252"
73,Tai Wo,"22.450982723277402, 114.16121599679383"
74,Fanling,"22.49206952756427, 114.13868784723356"
75,Sheung Shui,"22.501253415898, 114.12794759871724"
76,Lo Wu,"22.528152839524513, 114.11337465157199"
78,Lok Ma Chau,"22.514782470936424, 114.065632370563"
80,East Tsim Sha Tsui,"22.294807180585828, 114.17342867831958"
81,Sai Ying Pun,"22.28552694011027, 114.14273340127995"
82,HKU,"22.2839751836277, 114.13504508712575"
83,Kennedy Town,"22.281236826519983, 114.12887854084086"
84,Ho Man Tin,"22.309345899004153, 114.18272769051786"
85,Whampoa,"22.305014633035842, 114.1895416414921"
86,Ocean Park,"22.24867968012421, 114.1744410868776"
87,Wong Chuk Hang,"22.24797367528662, 114.16802194454749"
88,Lei Tung,"22.24192381094165, 114.15610286951211"
89,South Horizons,"22.24284436884903, 114.14873663829418"
90,Hin Keng,"22.3638158300488, 114.17078270032545"
91,Kai Tak,"22.330562759583025, 114.1995468450055"
92,Sung Wong Toi,"22.325903682557612, 114.1912956666794"
93,To Kwa Wan,"22.31730859430275, 114.18760239680977"
94,Exhibition Centre,"22.28211373417307, 114.17550926541165"
96,Che Kung Temple,"22.37472655507678, 114.18595062690936"
97,Sha Tin Wai,"22.377007287915173, 114.19496482402103"
